a,count
3.2920000000000016,56
3.296000000000001,54
3.3000000000000016,56
3.304000000000001,48
3.3080000000000016,57
3.312000000000001,73
3.3160000000000016,71
3.320000000000001,79
3.3240000000000016,70
3.328000000000001,87
3.3320000000000016,88
3.336000000000001,103
3.3400000000000016,102
3.344000000000001,105
3.3480000000000016,101
3.352000000000001,105
3.3560000000000016,120
3.360000000000001,119
3.3640000000000017,137
3.368000000000001,149
3.3720000000000017,118
3.3760000000000012,125
3.3800000000000017,141
3.3840000000000012,122
3.3880000000000017,132
3.3920000000000012,132
3.3960000000000017,139
3.4000000000000012,123
3.4040000000000017,126
3.4080000000000013,138
3.4120000000000017,128
3.4160000000000013,134
3.4200000000000017,149
3.4240000000000013,138
3.4280000000000017,141
3.4320000000000013,157
3.4360000000000017,138
3.4400000000000013,106
3.4440000000000017,108
3.4480000000000013,87
3.4520000000000017,92
3.4560000000000013,81
3.4600000000000017,80
3.4640000000000013,70
3.4680000000000017,60
3.4720000000000013,39
3.4760000000000018,45
3.4800000000000013,52
3.4840000000000018,45
3.4880000000000013,46
3.4920000000000018,50
3.4960000000000013,58
3.5000000000000018,50
3.5040000000000013,36
3.508000000000002,22
3.5120000000000013,15
3.516000000000002,14
3.5200000000000014,38
3.524000000000002,23
3.5280000000000014,25
3.532000000000002,17
3.5360000000000014,22
3.540000000000002,32
3.5440000000000014,35
3.548000000000002,44
3.5520000000000014,37
3.556000000000002,52
3.5600000000000014,67
3.564000000000002,36
3.5680000000000014,26
3.572000000000002,14
3.5760000000000014,7
3.580000000000002,5
3.5840000000000014,6
3.588000000000002,8
3.5920000000000014,5
3.596000000000002,4
3.6000000000000014,7
3.604000000000002,6
3.6080000000000014,7
3.612000000000002,9
3.6160000000000014,6
3.620000000000002,5
3.6240000000000014,7
3.628000000000002,7
3.6320000000000014,5
3.636000000000002,7
3.6400000000000015,3
3.644000000000002,8
3.6480000000000015,3
3.652000000000002,8
3.6560000000000015,4
3.660000000000002,3
3.6640000000000015,4
3.668000000000002,3
3.6720000000000015,5
3.676000000000002,6
3.6800000000000015,5
3.684000000000002,4
3.6880000000000015,3
3.692000000000002,4
3.6960000000000015,2
3.700000000000002,1
3.7040000000000015,7
3.708000000000002,7
3.7120000000000015,4
3.716000000000002,4
3.7200000000000015,5
3.724000000000002,2
3.7280000000000015,3
3.732000000000002,2
3.7360000000000015,5
3.740000000000002,0
3.7440000000000015,3
3.748000000000002,3
3.7520000000000016,7
3.756000000000002,1
3.7600000000000016,4
3.764000000000002,2
3.7680000000000016,4
3.772000000000002,2
3.7760000000000016,4
3.780000000000002,5
3.7840000000000016,2
3.788000000000002,2
3.7920000000000016,4
3.796000000000002,0
3.8000000000000016,5
3.804000000000002,5
3.8080000000000016,2
3.812000000000002,7
3.8160000000000016,6
3.820000000000002,5
3.8240000000000016,7
3.828000000000002,8
