ageGyr,logL/Lsun,logR/Rsun,L/Lsun,R/Rsun,logTeff,Teff,logTcore,logrho_core,logPcore,Xcore,Ycore,Zcore
3.04574090E-04,6.54141329E-01,5.50024095E-01,4.50963434110222,3.54833075106027,3.65015060E+00,4468.3851517396,6.34269186E+00,-6.97970896E-01,1.37716881E+01,7.07845916E-01,2.73335995E-01,1.87845200E-02
3.14456466E-04,6.48609098E-01,5.47094924E-01,4.45255300311339,3.5244789736828,3.65023212E+00,4469.22397645918,6.34555970E+00,-6.89362748E-01,1.37831682E+01,7.07845720E-01,2.73335663E-01,1.87845200E-02
3.25776037E-04,6.42701792E-01,5.43971203E-01,4.39239908092702,3.49921963793457,3.65031716E+00,4470.09918909858,6.34861841E+00,-6.80181891E-01,1.37954123E+01,7.07845484E-01,2.73335271E-01,1.87845200E-02
3.39267954E-04,6.36183681E-01,5.40528966E-01,4.32696797613833,3.47159429496865,3.65040875E+00,4471.04200457635,6.35198943E+00,-6.70063887E-01,1.38089065E+01,7.07845188E-01,2.73334798E-01,1.87845200E-02
3.56132849E-04,6.28689413E-01,5.36579509E-01,4.25294153962276,3.44016686896705,3.65050991E+00,4472.08356349094,6.35585775E+00,-6.58453289E-01,1.38243915E+01,7.07844804E-01,2.73334207E-01,1.87845200E-02
3.77213968E-04,6.20069528E-01,5.32046336E-01,4.16936127156745,3.40444510667544,3.65062153E+00,4473.23310174469,6.36029847E+00,-6.45124264E-01,1.38421678E+01,7.07844308E-01,2.73333438E-01,1.87845200E-02
4.03565367E-04,6.10011356E-01,5.26770026E-01,4.07390930186566,3.36333421992923,3.65074514E+00,4474.50646593257,6.36546815E+00,-6.29606631E-01,1.38628621E+01,7.07843683E-01,2.73332447E-01,1.87845200E-02
4.36504615E-04,5.97876803E-01,5.20423300E-01,3.96165637383699,3.31454027117921,3.65088486E+00,4475.94622316072,6.37168797E+00,-6.10936161E-01,1.38877603E+01,7.07842923E-01,2.73331198E-01,1.87845200E-02
4.77678676E-04,5.82442135E-01,5.12381509E-01,3.82333308523516,3.25372998046198,3.65104709E+00,4477.61851794178,6.37957102E+00,-5.87273226E-01,1.39193166E+01,7.07842050E-01,2.73329677E-01,1.87845200E-02
5.10617924E-04,5.69306008E-01,5.05565111E-01,3.70941998963841,3.20306027301786,3.65117126E+00,4478.89890579756,6.38625453E+00,-5.67211117E-01,1.39460715E+01,7.07841418E-01,2.73327932E-01,1.87845200E-02
5.36969323E-04,5.58060165E-01,4.99746817E-01,3.61459934034784,3.16043466734141,3.65126894E+00,4479.90639741304,6.39196054E+00,-5.50083238E-01,1.39689138E+01,7.07840978E-01,2.73326668E-01,1.87845200E-02
