JDTDB,CalendarDate(TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,Note
2332861.500000000,A.D.1675-Jan-2100:00:00.0000,-1.960038263159148E+00,-4.959013395878499E+00,6.358335742039775E-02,6.936256414690741E-03,-2.421765016668468E-03,-1.467294938196412E-04,3.079906188027159E-02,5.332692255970823E+00,-2.991157737654506E-04,
2332871.500000000,A.D.1675-Jan-3100:00:00.0000,-1.890482298825473E+00,-4.982748367386031E+00,6.210988285750047E-02,6.974752339261073E-03,-2.324136606367901E-03,-1.479262996662758E-04,3.078170428360913E-02,5.329686881272592E+00,-3.028781382859071E-04,
2332881.500000000,A.D.1675-Feb-1000:00:00.0000,-1.820561400795463E+00,-5.005507623608831E+00,6.062434148771140E-02,7.009624121374824E-03,-2.227956011446642E-03,-1.491848896931375E-04,3.076417852957978E-02,5.326652391028843E+00,-3.038389641347498E-04,
2332891.500000000,A.D.1675-Feb-2000:00:00.0000,-1.750281118107567E+00,-5.027290270837927E+00,5.912693136847399E-02,7.045747986060005E-03,-2.128270086835598E-03,-1.502917402279885E-04,3.074650083696057E-02,5.323591593433760E+00,-3.083434223458501E-04,
2332901.500000000,A.D.1675-Mar-0200:00:00.0000,-1.679661847170149E+00,-5.048086503471482E+00,5.761797610176742E-02,7.078883688009575E-03,-2.030612813578232E-03,-1.514773747124284E-04,3.072866745339133E-02,5.320503838786326E+00,-3.097732062601746E-04,
2332911.500000000,A.D.1675-Mar-1200:00:00.0000,-1.608712612759396E+00,-5.067891348266262E+00,5.609774942532712E-02,7.110268120538262E-03,-1.931522261690864E-03,-1.526078757078442E-04,3.071067773636450E-02,5.317389015839802E+00,-3.118436510919892E-04,
2332921.500000000,A.D.1675-Mar-2200:00:00.0000,-1.537445953422645E+00,-5.086701983261738E+00,5.456648281845362E-02,7.142106738817184E-03,-1.829709071116703E-03,-1.536228015329525E-04,3.069254914312930E-02,5.314250147223194E+00,-3.164700480847528E-04,
2332931.500000000,A.D.1675-Apr-0100:00:00.0000,-1.465881133662167E+00,-5.104508214538036E+00,5.302451720210574E-02,7.171260490921214E-03,-1.731214620305469E-03,-1.547479522066172E-04,3.067426841439173E-02,5.311084937160908E+00,-3.169637961192801E-04,
2332941.500000000,A.D.1675-Apr-1100:00:00.0000,-1.394023904413783E+00,-5.121309402491616E+00,5.147209313402650E-02,7.199662758245764E-03,-1.629216928944098E-03,-1.557453818847884E-04,3.065585177645885E-02,5.307896195150926E+00,-3.204272446336994E-04,
2332951.500000000,A.D.1675-Apr-2100:00:00.0000,-1.321894578675882E+00,-5.137097267257722E+00,4.990953152909620E-02,7.226418403256046E-03,-1.527713039966891E-03,-1.567433042630209E-04,3.063729545567845E-02,5.304683267805619E+00,-3.228045344419469E-04,
2332961.500000000,A.D.1675-May-0100:00:00.0000,-1.249503898978316E+00,-5.151867398039216E+00,4.833711339131908E-02,7.251705368779817E-03,-1.427082778251221E-03,-1.577571042543905E-04,3.061860098889045E-02,5.301446421220569E+00,-3.237830357244486E-04,
2332971.500000000,A.D.1675-May-1100:00:00.0000,-1.176863953976865E+00,-5.165617288534123E+00,4.675511770463776E-02,7.275414864525395E-03,-1.322891858771204E-03,-1.586488677514231E-04,3.059978229645774E-02,5.298188065631897E+00,-3.276663781537960E-04,
2332981.500000000,A.D.1675-May-2100:00:00.0000,-1.103994303906034E+00,-5.178338448665202E+00,4.516387072893401E-02,7.298136640152433E-03,-1.220776498255062E-03,-1.595784159448032E-04,3.058082815969700E-02,5.294906258584803E+00,-3.291303935435092E-04,
2332991.500000000,A.D.1675-May-3100:00:00.0000,-1.030902418141858E+00,-5.190030931440371E+00,4.356361910831596E-02,7.320200589085977E-03,-1.117514393858929E-03,-1.604575699930822E-04,3.056175904869757E-02,5.291604544365382E+00,-3.313679841105788E-04,
2333001.500000000,A.D.1675-Jun-1000:00:00.0000,-9.576079131171548E-01,-5.200686597352661E+00,4.195473955436723E-02,7.338842084483163E-03,-1.013517359827873E-03,-1.613143544692930E-04,3.054256290951215E-02,5.288280835897358E+00,-3.334760502003657E-04,
2333011.500000000,A.D.1675-Jun-2000:00:00.0000,-8.841223742944626E-01,-5.210302955712056E+00,4.033748567432401E-02,7.357904677054974E-03,-9.100010886430852E-04,-1.621402769541117E-04,3.052324903873555E-02,5.284936742836227E+00,-3.349987347626519E-04,
2333021.500000000,A.D.1675-Jun-3000:00:00.0000,-8.104589959577624E-01,-5.218877782927939E+00,3.871216366947929E-02,7.374701834034349E-03,-8.050082561894060E-04,-1.629213403464706E-04,3.050382953977036E-02,5.281574360821183E+00,-3.373919699796815E-04,
2333031.500000000,A.D.1675-Jul-1000:00:00.0000,-7.366365758307719E-01,-5.226403064830096E+00,3.707914360432363E-02,7.389000771260116E-03,-7.002870943678937E-04,-1.636927717264392E-04,3.048428727501469E-02,5.278190722568438E+00,-3.389599376973440E-04,
2333041.500000000,A.D.1675-Jul-2000:00:00.0000,-6.626637710913140E-01,-5.232881133525147E+00,3.543862994863194E-02,7.404977823704564E-03,-5.944928348570119E-04,-1.643788152701896E-04,3.046465432343211E-02,5.274791382378362E+00,-3.416107708050740E-04,
2333051.500000000,A.D.1675-Jul-3000:00:00.0000,-5.885609739946814E-01,-5.238303617644847E+00,3.379104815748151E-02,7.416383227952622E-03,-4.898262792770231E-04,-1.651202867360360E-04,3.044490993644280E-02,5.271372747745719E+00,-3.423613998345919E-04,
2333061.500000000,A.D.1675-Aug-0900:00:00.0000,-5.143393378000711E-01,-5.242669012176643E+00,3.213667601880685E-02,7.427244703553777E-03,-3.839232950229080E-04,-1.657780263776076E-04,3.042506444050478E-02,5.267936606641292E+00,-3.440946713510344E-04,
2333071.500000000,A.D.1675-Aug-1900:00:00.0000,-4.400130825897715E-01,-5.245976998072458E+00,3.047579127466735E-02,7.437921316742018E-03,-2.771388854835627E-04,-1.663764213698610E-04,3.040513655425596E-02,5.264486200096766E+00,-3.464704535038552E-04,
2333081.500000000,A.D.1675-Aug-2900:00:00.0000,-3.656014837322427E-01,-5.248219204439048E+00,2.880881980390428E-02,7.444258180948670E-03,-1.719902654235442E-04,-1.670337741323840E-04,3.038509976134084E-02,5.261016936947508E+00,-3.466632573182017E-04,
2333091.500000000,A.D.1675-Sep-0800:00:00.0000,-2.911128457087919E-01,-5.249399690145039E+00,2.713596493246912E-02,7.452127616509200E-03,-6.373492827733886E-05,-1.675308299222593E-04,3.036499300043585E-02,5.257535559216344E+00,-3.498570868965528E-04,
2333101.500000000,A.D.1675-Sep-1800:00:00.0000,-2.165686339057158E-01,-5.249511512466405E+00,2.545763822982634E-02,7.457404257988911E-03,4.235071924167493E-05,-1.680884696638199E-04,3.034479601410661E-02,5.254038559437241E+00,-3.505188543009658E-04,
2333111.500000000,A.D.1675-Sep-2800:00:00.0000,-1.419806024788617E-01,-5.248553022326115E+00,2.377416743942449E-02,7.460120717065214E-03,1.484199004568956E-04,-1.686296738574561E-04,3.032451425233868E-02,5.250526881245948E+00,-3.508583467636165E-04,
2333121.500000000,A.D.1675-Oct-0800:00:00.0000,-6.736240707427582E-02,-5.246525652410034E+00,2.208582985073596E-02,7.462952862850718E-03,2.573484667777927E-04,-1.690312335024678E-04,3.030417104700692E-02,5.247004564431364E+00,-3.538477951648911E-04,
