JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332177.5,1673-Mar-08,-9.853783049388772E-01,1.306024878244171E-01,4.410745018440632E-05,-2.505487419677074E-03,-1.711593365382482E-02,-1.285318957001752E-05,5.740840282123873E-03,9.939956818898205E-01,2.348791522460065E-04
2332178.5,1673-Mar-09,-9.877352717730280E-01,1.134680981934542E-01,3.124908166523199E-05,-2.208369072793233E-03,-1.715198073610881E-02,-1.286289858006700E-05,5.742201387805641E-03,9.942313500331208E-01,2.364449581598342E-04
2332179.5,1673-Mar-10,-9.897949040255689E-01,9.630025642332658E-02,1.838295019964156E-05,-1.910833543535936E-03,-1.718283766027433E-02,-1.286871611317105E-05,5.743571325523718E-03,9.944685473961037E-01,2.379375346990871E-04
2332180.5,1673-Mar-11,-9.915568303454403E-01,7.910415321197875E-02,5.512945068406913E-06,-1.612972463630467E-03,-1.720850362214280E-02,-1.287064680631316E-05,5.744949671376022E-03,9.947072005823990E-01,2.393565516590780E-04
2332181.5,1673-Mar-12,-9.930207709157227E-01,6.188497923685574E-02,-7.357049813781972E-06,-1.314877264767872E-03,-1.722897946512296E-02,-1.286869674859626E-05,5.746335999620315E-03,9.949472358770231E-01,2.407017022491079E-04
2332182.5,1673-Mar-13,-9.941865372390717E-01,4.464792351275068E-02,-2.022315732653543E-05,-1.016639149600291E-03,-1.724426766921413E-02,-1.286287342817433E-05,5.747729882813385E-03,9.951885792704781E-01,2.419727044483905E-04
2332183.5,1673-Mar-14,-9.950540318943086E-01,2.739817176102216E-02,-3.308150850472685E-05,-7.183490630481248E-04,-1.725437233927144E-02,-1.285318565229231E-05,5.749130891957679E-03,9.954311564841402E-01,2.431693022059573E-04
2332184.5,1673-Mar-15,-9.956232482644438E-01,1.014090479089542E-02,-4.592824380969295E-05,-4.200976638403399E-04,-1.725929919258034E-02,-1.283964344930340E-05,5.750538596654108E-03,9.956748929967171E-01,2.442912663607407E-04
2332185.5,1673-Mar-16,-9.958942702363242E-01,-7.118703106485841E-03,-5.875951429770768E-05,-1.219752962135541E-04,-1.725905554579056E-02,-1.282225796320023E-05,5.751952565259095E-03,9.959197140714402E-01,2.453383951694835E-04
2332186.5,1673-Mar-17,-9.958672718720296E-01,-2.437548575064703E-02,-7.157148268452142E-05,1.759280382994936E-04,-1.725365030127243E-02,-1.280104135339666E-05,5.753372365043282E-03,9.961655447835446E-01,2.463105143443032E-04
2332187.5,1673-Mar-18,-9.955425170520831E-01,-4.162428665047085E-02,-8.436032431812587E-05,4.735227090395212E-04,-1.724309393297750E-02,-1.277600671384641E-05,5.754797562348896E-03,9.964123100475135E-01,2.472074765365437E-04
2332188.5,1673-Mar-19,-9.949203590905059E-01,-5.885996056854031E-02,-9.712222808608760E-05,7.707194843488868E-04,-1.722739847190605E-02,-1.274716802511359E-05,5.756227722742485E-03,9.966599346435265E-01,2.480291602674427E-04
2332189.5,1673-Mar-20,-9.940012403217956E-01,-7.607737507080120E-02,-1.098533972959521E-04,1.067429559587855E-03,-1.720657749129867E-02,-1.271454014981032E-05,5.757662411160104E-03,9.969083432425974E-01,2.487754683972359E-04
2332190.5,1673-Mar-21,-9.927856916600015E-01,-9.327141206132723E-02,-1.225500505749252E-04,1.363564584882403E-03,-1.718064609166794E-02,-1.267813887573210E-05,5.759101192042767E-03,9.971574604300247E-01,2.494463263299707E-04
2332191.5,1673-Mar-22,-9.912743321302860E-01,-1.104369693020760E-01,-1.352084228348472E-04,1.659036692363896E-03,-1.714962088575941E-02,-1.263798100135996E-05,5.760543629461450E-03,9.974072107270380E-01,2.500416802480143E-04
2332192.5,1673-Mar-23,-9.894678683736194E-01,-1.275689619175842E-01,-1.478247663369065E-04,1.953758522607069E-03,-1.711351998346364E-02,-1.259408444566599E-05,5.761989287232814E-03,9.976575186108336E-01,2.505614957236456E-04
2332193.5,1673-Mar-24,-9.873670941255539E-01,-1.446623238845300E-01,-1.603953518673709E-04,2.247643250010901E-03,-1.707236297663691E-02,-1.254646835791675E-05,5.763437729028776E-03,9.979083085335455E-01,2.510057570014861E-04
2332194.5,1673-Mar-25,-9.849728896702120E-01,-1.617120095060373E-01,-1.729164700138779E-04,2.540604606942558E-03,-1.702617092371423E-02,-1.249515319933132E-05,5.764888518484276E-03,9.981595049409057E-01,2.513744671399648E-04
2332195.5,1673-Mar-26,-9.822862212707794E-01,-1.787129948704096E-01,-1.853844324963243E-04,2.832556906632574E-03,-1.697496633396495E-02,-1.244016077540324E-05,5.766341219308452E-03,9.984110322914933E-01,2.516676489963711E-04
2332196.5,1673-Mar-27,-9.793081405776758E-01,-1.956602792938739E-01,-1.977955735009921E-04,3.123415064921020E-03,-1.691877315119026E-02,-1.238151420101172E-05,5.767795395403515E-03,9.986628150773166E-01,2.518853468882832E-04
2332197.5,1673-Mar-28,-9.760397840154434E-01,-2.125488867466743E-01,-2.101462509453968E-04,3.413094621155041E-03,-1.685761673673112E-02,-1.231923780359924E-05,5.769250610994294E-03,9.989147778462438E-01,2.520276285453611E-04
2332198.5,1673-Mar-29,-9.724823721490092E-01,-2.293738672618050E-01,-2.224328476238810E-04,3.701511758597354E-03,-1.679152385172404E-02,-1.225335698365305E-05,5.770706430768842E-03,9.991668452263477E-01,2.520945869081582E-04
